match_id,team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_home_away,team2_home_away,winner,margin,margin_type,time_of_day,series,player_of_match,player_of_match_team,venue,toss,toss_decision,ball_remaining,ground_city,ground,ground_country,match_date
ODI # 1371,Pakistan,Australia,315,316,8,4,home,away,Australia,6,wickets,Day,Australia tour of Pakistan,Ricky Ponting,Australia,"Gaddafi Stadium, Lahore",Pakistan,bat first,7,Lahore,Lahore,Pakistan,10-11-1998
ODI # 1372,Zimbabwe,Sri Lanka,259,235,7,10,away,away,Zimbabwe,24,runs,Day and night,Coca-Cola Champions Trophy,Paul Strang,Zimbabwe,Sharjah Cricket Association Stadium,Sri Lanka,field first,,Sharjah,Sharjah,United Arab Emirates,10-11-1998
ODI # 1373,Zimbabwe,India,205,192,7,10,away,away,Zimbabwe,13,runs,Day and night,Coca-Cola Champions Trophy,Henry Olonga,Zimbabwe,Sharjah Cricket Association Stadium,India,field first,,Sharjah,Sharjah,United Arab Emirates,11-11-1998
ODI # 1374,Zimbabwe,India,196,197,9,0,away,away,India,10,wickets,Day and night,Coca-Cola Champions Trophy,Sachin Tendulkar,India,Sharjah Cricket Association Stadium,India,field first,120,Sharjah,Sharjah,United Arab Emirates,13-11-1998
ODI # 1375,Zimbabwe,Pakistan,237,241,10,6,away,home,Pakistan,4,wickets,Day,Zimbabwe tour of Pakistan,Aamer Sohail,Pakistan,"Jinnah Stadium, Gujranwala",Pakistan,field first,14,Gujranwala,Gujranwala,Pakistan,20-11-1998
ODI # 1376,Pakistan,Zimbabwe,211,212,10,4,home,away,Zimbabwe,6,wickets,Day,Zimbabwe tour of Pakistan,Neil Johnson,Zimbabwe,Sheikhupura Stadium,Zimbabwe,field first,56,Sheikhupura,Sheikhupura,Pakistan,22-11-1998
ODI # 1377,Pakistan,Zimbabwe,302,191,6,10,home,away,Pakistan,111,runs,Day,Zimbabwe tour of Pakistan,Ijaz Ahmed,Pakistan,Rawalpindi Cricket Stadium,Zimbabwe,field first,,Rawalpindi,Rawalpindi,Pakistan,24-11-1998
ODI # 1378,India,New Zealand,257,200,5,5,away,home,New Zealand,5,wickets,Day and night,India tour of New Zealand,Rahul Dravid,India,"Owen Delany Park, Taupo",India,bat first,6,Taupo,Taupo,New Zealand,09-01-1999
ODI # 1380,Sri Lanka,England,207,208,7,6,away,away,England,4,wickets,Day and night,Carlton & United Series,Neil Fairbrother,England,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sri Lanka,bat first,3,Brisbane,Woolloongabba,Australia,11-01-1999
ODI # 1381,New Zealand,India,213,214,10,8,home,away,India,2,wickets,Day and night,India tour of New Zealand,Matt Horne,New Zealand,"McLean Park, Napier",India,field first,1,Napier,Napier,New Zealand,12-01-1999
